"Year","Category","Nominee","Won"
1947,"BEST PICTURE","Great Expectations","no"
1947,"BEST PICTURE","Miracle on 34th Street","no"
1948,"ACTOR IN A LEADING ROLE","Johnny Belinda","no"
1948,"ACTOR IN A LEADING ROLE","The Search","no"
1948,"ACTOR IN A LEADING ROLE","When My Baby Smiles at Me","no"
1948,"ACTOR IN A LEADING ROLE","Hamlet","yes"
1948,"ACTOR IN A LEADING ROLE","Sitting Pretty","no"
1948,"ACTOR IN A SUPPORTING ROLE","Johnny Belinda","no"
1948,"ACTOR IN A SUPPORTING ROLE","Joan of Arc","no"
1948,"ACTOR IN A SUPPORTING ROLE","I Remember Mama","no"
1948,"ACTOR IN A SUPPORTING ROLE","The Treasure of the Sierra Madre","yes"
1948,"ACTOR IN A SUPPORTING ROLE","The Luck of the Irish","no"
